population,year,runSize
Quillayute,1978,10031
Quillayute,1979,7555
Quillayute,1980,8671
Quillayute,1981,11044
Quillayute,1982,15144
Quillayute,1983,10774
Quillayute,1984,13245
Quillayute,1985,11260
Quillayute,1986,14381
Quillayute,1987,14994
Quillayute,1988,19746
Quillayute,1989,19635
Quillayute,1990,13108
Quillayute,1991,12352
Quillayute,1992,12134
Quillayute,1993,13370
Quillayute,1994,10984
Quillayute,1995,16780
Quillayute,1996,21615
Quillayute,1997,16487
Quillayute,1998,18896
Quillayute,1999,21021
Quillayute,2000,20479
Quillayute,2001,19809
Quillayute,2002,15665
Quillayute,2003,12123
Quillayute,2004,15438
Quillayute,2005,11661
Quillayute,2006,13526
Quillayute,2007,11697
Quillayute,2008,11231
Quillayute,2009,6456
Quillayute,2010,10398
Quillayute,2011,14013
Quillayute,2012,12644
Quillayute,2013,10580
Quillayute,2014,9006
Quillayute,2015,11176
Quillayute,2016,7896
Quillayute,2017,7189
Queets,1981,13309
Queets,1982,10284
Queets,1983,8525
Queets,1984,7165
Queets,1985,10376
Queets,1986,9148
Queets,1987,10775
Queets,1988,10376
Queets,1989,9145
Queets,1990,8237
Queets,1991,8312
Queets,1992,12060
Queets,1993,11268
Queets,1994,8467
Queets,1995,5599
Queets,1996,5024
Queets,1997,5441
Queets,1998,5103
Queets,1999,5413
Queets,2000,6110
Queets,2001,7212
Queets,2002,5531
Queets,2003,4883
Queets,2004,9472
Queets,2005,7744
Queets,2006,8260
Queets,2007,6979
Queets,2008,5904
Queets,2009,5371
Queets,2010,6807
Queets,2011,8239
Queets,2012,7579
Queets,2013,6732
Queets,2014,4283
Queets,2015,6929
Queets,2016,6834
Queets,2017,4087
Humptulips,1979,3614
Humptulips,1980,3776
Humptulips,1981,2712
Humptulips,1982,5325
Humptulips,1983,2867
Humptulips,1984,4673
Humptulips,1985,7125
Humptulips,1986,5808
Humptulips,1987,4797
Humptulips,1988,5243
Humptulips,1989,3834
Humptulips,1990,4347
Humptulips,1991,3215
Humptulips,1992,3277
Humptulips,1993,2816
Humptulips,1994,1989
Humptulips,1995,2894
Humptulips,1996,1670
Humptulips,1997,1210
Humptulips,1998,1389
Humptulips,1999,2028
Humptulips,2000,1368
Humptulips,2001,1409
Humptulips,2002,2611
Humptulips,2003,2840
Humptulips,2004,4200
Humptulips,2005,2557
Humptulips,2006,2516
Humptulips,2007,2392
Humptulips,2008,1651
Humptulips,2009,1326
Humptulips,2010,1303
Humptulips,2011,2653
Humptulips,2012,2645
Humptulips,2013,3365
Humptulips,2014,1667
Humptulips,2015,2999
Humptulips,2016,2900
Humptulips,2017,1406
Hoh,1980,4234
Hoh,1981,4078
Hoh,1982,5783
Hoh,1983,5743
Hoh,1984,5316
Hoh,1985,5721
Hoh,1986,5094
Hoh,1987,4527
Hoh,1988,5706
Hoh,1989,4415
Hoh,1990,4525
Hoh,1991,4206
Hoh,1992,4515
Hoh,1993,4144
Hoh,1994,3988
Hoh,1995,3571
Hoh,1996,4097
Hoh,1997,4152
Hoh,1998,3977
Hoh,1999,4123
Hoh,2000,4468
Hoh,2001,5351
Hoh,2002,5125
Hoh,2003,3583
Hoh,2004,4057
Hoh,2005,2541
Hoh,2006,3984
Hoh,2007,3914
Hoh,2008,3501
Hoh,2009,3126
Hoh,2010,3050
Hoh,2011,4394
Hoh,2012,4499
Hoh,2013,3416
Hoh,2014,3191
Hoh,2015,4300
Hoh,2016,2685
Hoh,2017,2742
Chehalis,1983,6479
Chehalis,1984,10004
Chehalis,1985,12763
Chehalis,1986,15868
Chehalis,1987,17579
Chehalis,1988,10933
Chehalis,1989,10833
Chehalis,1990,12035
Chehalis,1991,9397
Chehalis,1992,11105
Chehalis,1993,7899
Chehalis,1994,10586
Chehalis,1995,9856
Chehalis,1996,8889
Chehalis,1997,7445
Chehalis,1998,6298
Chehalis,1999,11136
Chehalis,2000,12006
Chehalis,2001,10882
Chehalis,2002,11381
Chehalis,2003,9968
Chehalis,2004,19051
Chehalis,2005,10982
Chehalis,2006,11877
Chehalis,2007,8700
Chehalis,2008,7235
Chehalis,2009,7437
Chehalis,2010,7083
Chehalis,2011,7044
Chehalis,2012,8896
Chehalis,2013,10622
Chehalis,2014,8036
Chehalis,2015,12352
Chehalis,2016,11734
Chehalis,2017,5630
Quinalt,1991,6416
Quinalt,1992,7944
Quinalt,1993,6852
Quinalt,1994,5099
Quinalt,1995,4721
Quinalt,1996,5142
Quinalt,1997,6199
Quinalt,1998,4989
Quinalt,1999,3524
Quinalt,2000,4822
Quinalt,2001,6979
Quinalt,2002,4593
Quinalt,2003,4508
Quinalt,2004,5602
Quinalt,2005,6288
Quinalt,2006,5735
Quinalt,2007,4403
Quinalt,2008,4848
Quinalt,2009,3952
Quinalt,2010,5547
Quinalt,2011,4232
Quinalt,2012,6687
Quinalt,2013,4996
Quinalt,2014,4086
Quinalt,2015,6477
Quinalt,2016,5417
Quinalt,2017,5847
