population,year,julian,HW,catch,period
Quillayute,1978,-32,Hatchery,779,Current
Quillayute,1978,-32,Wild,29,Current
Quillayute,1978,-18,Hatchery,652,Current
Quillayute,1978,-18,Wild,0,Current
Quillayute,1978,-11,Hatchery,814,Current
Quillayute,1978,-11,Wild,0,Current
Quillayute,1978,-4,Hatchery,535,Current
Quillayute,1978,-4,Wild,0,Current
Quillayute,1978,3,Hatchery,296,Current
Quillayute,1978,3,Wild,22,Current
Quillayute,1978,10,Hatchery,159,Current
Quillayute,1978,10,Wild,12,Current
Quillayute,1978,17,Hatchery,234,Current
Quillayute,1978,17,Wild,29,Current
Quillayute,1978,24,Hatchery,380,Current
Quillayute,1978,24,Wild,48,Current
Quillayute,1978,31,Hatchery,126,Current
Quillayute,1978,31,Wild,81,Current
Quillayute,1978,38,Hatchery,310,Current
Quillayute,1978,38,Wild,199,Current
Quillayute,1978,45,Hatchery,175,Current
Quillayute,1978,45,Wild,204,Current
Quillayute,1978,52,Hatchery,216,Current
Quillayute,1978,52,Wild,250,Current
Quillayute,1978,59,Hatchery,103,Current
Quillayute,1978,59,Wild,312,Current
Quillayute,1978,66,Hatchery,89,Current
Quillayute,1978,66,Wild,271,Current
Quillayute,1978,73,Hatchery,218,Current
Quillayute,1978,73,Wild,142,Current
Quillayute,1978,80,Hatchery,195,Current
Quillayute,1978,80,Wild,127,Current
Quillayute,1978,87,Hatchery,209,Current
Quillayute,1978,87,Wild,157,Current
Quillayute,1979,-12,Hatchery,1295,Current
Quillayute,1979,-12,Wild,166,Current
Quillayute,1979,-5,Hatchery,1252,Current
Quillayute,1979,-5,Wild,160,Current
Quillayute,1979,2,Hatchery,997,Current
Quillayute,1979,2,Wild,221,Current
Quillayute,1979,23,Hatchery,904,Current
Quillayute,1979,23,Wild,106,Current
Quillayute,1979,30,Hatchery,321,Current
Quillayute,1979,30,Wild,38,Current
Quillayute,1980,-34,Hatchery,1452,Current
Quillayute,1980,-34,Wild,167,Current
Quillayute,1980,-13,Hatchery,2472,Current
Quillayute,1980,-13,Wild,284,Current
Quillayute,1980,-6,Hatchery,1576,Current
Quillayute,1980,-6,Wild,181,Current
Quillayute,1980,29,Hatchery,189,Current
Quillayute,1980,29,Wild,22,Current
Quillayute,1980,36,Hatchery,213,Current
Quillayute,1980,36,Wild,24,Current
Quillayute,1981,-36,Hatchery,37,Current
Quillayute,1981,-36,Wild,8,Current
Quillayute,1981,-15,Hatchery,626,Current
Quillayute,1981,-15,Wild,128,Current
Quillayute,1981,-8,Hatchery,791,Current
Quillayute,1981,-8,Wild,160,Current
Quillayute,1981,-1,Hatchery,781,Current
Quillayute,1981,-1,Wild,158,Current
Quillayute,1981,6,Hatchery,627,Current
Quillayute,1981,6,Wild,254,Current
Quillayute,1981,13,Hatchery,783,Current
Quillayute,1981,13,Wild,317,Current
Quillayute,1981,48,Hatchery,240,Current
Quillayute,1981,48,Wild,372,Current
Quillayute,1981,55,Hatchery,151,Current
Quillayute,1981,55,Wild,234,Current
Quillayute,1981,62,Hatchery,39,Current
Quillayute,1981,62,Wild,71,Current
Quillayute,1982,-23,Hatchery,1043,Current
Quillayute,1982,-23,Wild,70,Current
Quillayute,1982,-16,Hatchery,1095,Current
Quillayute,1982,-16,Wild,72,Current
Quillayute,1982,-9,Hatchery,744,Current
Quillayute,1982,-9,Wild,49,Current
Quillayute,1982,-2,Hatchery,530,Current
Quillayute,1982,-2,Wild,36,Current
Quillayute,1982,5,Hatchery,623,Current
Quillayute,1982,5,Wild,252,Current
Quillayute,1982,12,Hatchery,1033,Current
Quillayute,1982,12,Wild,418,Current
Quillayute,1982,54,Hatchery,383,Current
Quillayute,1982,54,Wild,147,Current
Quillayute,1983,-17,Hatchery,629,Current
Quillayute,1983,-17,Wild,40,Current
Quillayute,1983,-10,Hatchery,1797,Current
Quillayute,1983,-10,Wild,135,Current
Quillayute,1983,-3,Hatchery,2204,Current
Quillayute,1983,-3,Wild,152,Current
Quillayute,1983,4,Hatchery,781,Current
Quillayute,1983,4,Wild,41,Current
Quillayute,1983,11,Hatchery,494,Current
Quillayute,1983,11,Wild,124,Current
Quillayute,1983,32,Hatchery,140,Current
Quillayute,1983,32,Wild,119,Current
Quillayute,1983,39,Hatchery,101,Current
Quillayute,1983,39,Wild,90,Current
Quillayute,1983,46,Hatchery,213,Current
Quillayute,1983,46,Wild,96,Current
Quillayute,1983,53,Hatchery,135,Current
Quillayute,1983,53,Wild,18,Current
Quillayute,1983,60,Hatchery,93,Current
Quillayute,1983,60,Wild,48,Current
Quillayute,1983,67,Hatchery,206,Current
Quillayute,1983,67,Wild,72,Current
Quillayute,1983,74,Hatchery,213,Current
Quillayute,1983,74,Wild,60,Current
Quillayute,1983,81,Hatchery,226,Current
Quillayute,1983,81,Wild,127,Current
Quillayute,1984,-18,Hatchery,967,Current
Quillayute,1984,-18,Wild,93,Current
Quillayute,1984,-11,Hatchery,1788,Current
Quillayute,1984,-11,Wild,89,Current
Quillayute,1984,3,Hatchery,522,Current
Quillayute,1984,3,Wild,34,Current
Quillayute,1984,17,Hatchery,586,Current
Quillayute,1984,17,Wild,71,Current
Quillayute,1984,24,Hatchery,186,Current
Quillayute,1984,24,Wild,97,Current
Quillayute,1984,31,Hatchery,166,Current
Quillayute,1984,31,Wild,119,Current
Quillayute,1984,38,Hatchery,119,Current
Quillayute,1984,38,Wild,162,Current
Quillayute,1984,45,Hatchery,509,Current
Quillayute,1984,45,Wild,354,Current
Quillayute,1984,52,Hatchery,216,Current
Quillayute,1984,52,Wild,402,Current
Quillayute,1984,59,Hatchery,331,Current
Quillayute,1984,59,Wild,332,Current
Quillayute,1984,66,Hatchery,201,Current
Quillayute,1984,66,Wild,236,Current
Quillayute,1984,73,Hatchery,210,Current
Quillayute,1984,73,Wild,309,Current
Quillayute,1984,80,Hatchery,174,Current
Quillayute,1984,80,Wild,242,Current
Quillayute,1984,87,Hatchery,235,Current
Quillayute,1984,87,Wild,185,Current
Quillayute,1985,-34,Hatchery,124,Current
Quillayute,1985,-34,Wild,0,Current
Quillayute,1985,-20,Hatchery,378,Current
Quillayute,1985,-20,Wild,16,Current
Quillayute,1985,-13,Hatchery,340,Current
Quillayute,1985,-13,Wild,19,Current
Quillayute,1985,1,Hatchery,332,Current
Quillayute,1985,1,Wild,21,Current
Quillayute,1985,15,Hatchery,462,Current
Quillayute,1985,15,Wild,68,Current
Quillayute,1985,22,Hatchery,803,Current
Quillayute,1985,22,Wild,185,Current
Quillayute,1985,29,Hatchery,248,Current
Quillayute,1985,29,Wild,291,Current
Quillayute,1985,36,Hatchery,121,Current
Quillayute,1985,36,Wild,248,Current
Quillayute,1985,43,Hatchery,178,Current
Quillayute,1985,43,Wild,160,Current
Quillayute,1985,50,Hatchery,202,Current
Quillayute,1985,50,Wild,137,Current
Quillayute,1985,57,Hatchery,299,Current
Quillayute,1985,57,Wild,492,Current
Quillayute,1985,64,Hatchery,168,Current
Quillayute,1985,64,Wild,139,Current
Quillayute,1985,71,Hatchery,49,Current
Quillayute,1985,71,Wild,97,Current
Quillayute,1985,78,Hatchery,184,Current
Quillayute,1985,78,Wild,184,Current
Quillayute,1986,-21,Hatchery,375,Current
Quillayute,1986,-21,Wild,54,Current
Quillayute,1986,-14,Hatchery,642,Current
Quillayute,1986,-14,Wild,21,Current
Quillayute,1986,-7,Hatchery,213,Current
Quillayute,1986,-7,Wild,14,Current
Quillayute,1986,0,Hatchery,464,Current
Quillayute,1986,0,Wild,105,Current
Quillayute,1986,7,Hatchery,700,Current
Quillayute,1986,7,Wild,150,Current
Quillayute,1986,14,Hatchery,474,Current
Quillayute,1986,14,Wild,227,Current
Quillayute,1986,21,Hatchery,611,Current
Quillayute,1986,21,Wild,259,Current
Quillayute,1986,28,Hatchery,300,Current
Quillayute,1986,28,Wild,135,Current
Quillayute,1986,35,Hatchery,191,Current
Quillayute,1986,35,Wild,322,Current
Quillayute,1986,42,Hatchery,148,Current
Quillayute,1986,42,Wild,243,Current
Quillayute,1986,49,Hatchery,68,Current
Quillayute,1986,49,Wild,251,Current
Quillayute,1986,56,Hatchery,135,Current
Quillayute,1986,56,Wild,296,Current
Quillayute,1986,63,Hatchery,136,Current
Quillayute,1986,63,Wild,232,Current
Quillayute,1986,70,Hatchery,74,Current
Quillayute,1986,70,Wild,303,Current
Quillayute,1987,-36,Hatchery,132,Current
Quillayute,1987,-36,Wild,16,Current
Quillayute,1987,-29,Hatchery,105,Current
Quillayute,1987,-29,Wild,13,Current
Quillayute,1987,-22,Hatchery,114,Current
Quillayute,1987,-22,Wild,5,Current
Quillayute,1987,-15,Hatchery,938,Current
Quillayute,1987,-15,Wild,44,Current
Quillayute,1987,-1,Hatchery,983,Current
Quillayute,1987,-1,Wild,254,Current
Quillayute,1987,6,Hatchery,559,Current
Quillayute,1987,6,Wild,136,Current
Quillayute,1987,13,Hatchery,669,Current
Quillayute,1987,13,Wild,145,Current
Quillayute,1987,20,Hatchery,316,Current
Quillayute,1987,20,Wild,230,Current
Quillayute,1987,27,Hatchery,234,Current
Quillayute,1987,27,Wild,493,Current
Quillayute,1987,34,Hatchery,153,Current
Quillayute,1987,34,Wild,271,Current
Quillayute,1987,41,Hatchery,146,Current
Quillayute,1987,41,Wild,331,Current
Quillayute,1987,48,Hatchery,69,Current
Quillayute,1987,48,Wild,541,Current
Quillayute,1987,55,Hatchery,14,Current
Quillayute,1987,55,Wild,482,Current
Quillayute,1987,62,Hatchery,0,Current
Quillayute,1987,62,Wild,365,Current
Quillayute,1987,69,Hatchery,0,Current
Quillayute,1987,69,Wild,410,Current
Quillayute,1987,76,Hatchery,46,Current
Quillayute,1987,76,Wild,208,Current
Quillayute,1987,83,Hatchery,26,Current
Quillayute,1987,83,Wild,303,Current
Quillayute,1987,90,Hatchery,0,Current
Quillayute,1987,90,Wild,286,Current
Quillayute,1988,-37,Hatchery,54,Current
Quillayute,1988,-37,Wild,15,Current
Quillayute,1988,-30,Hatchery,327,Current
Quillayute,1988,-30,Wild,58,Current
Quillayute,1988,-23,Hatchery,396,Current
Quillayute,1988,-23,Wild,40,Current
Quillayute,1988,-16,Hatchery,320,Current
Quillayute,1988,-16,Wild,62,Current
Quillayute,1988,-2,Hatchery,820,Current
Quillayute,1988,-2,Wild,313,Current
Quillayute,1988,5,Hatchery,167,Current
Quillayute,1988,5,Wild,126,Current
Quillayute,1988,12,Hatchery,183,Current
Quillayute,1988,12,Wild,272,Current
Quillayute,1988,19,Hatchery,19,Current
Quillayute,1988,19,Wild,161,Current
Quillayute,1988,26,Hatchery,33,Current
Quillayute,1988,26,Wild,175,Current
Quillayute,1988,33,Hatchery,17,Current
Quillayute,1988,33,Wild,37,Current
Quillayute,1988,40,Hatchery,20,Current
Quillayute,1988,40,Wild,69,Current
Quillayute,1988,47,Hatchery,30,Current
Quillayute,1988,47,Wild,158,Current
Quillayute,1988,54,Hatchery,10,Current
Quillayute,1988,54,Wild,220,Current
Quillayute,1988,61,Hatchery,24,Current
Quillayute,1988,61,Wild,476,Current
Quillayute,1988,68,Hatchery,5,Current
Quillayute,1988,68,Wild,214,Current
Quillayute,1988,75,Hatchery,0,Current
Quillayute,1988,75,Wild,268,Current
Quillayute,1988,82,Hatchery,5,Current
Quillayute,1988,82,Wild,206,Current
Quillayute,1989,-25,Hatchery,274,Current
Quillayute,1989,-25,Wild,12,Current
Quillayute,1989,-18,Hatchery,539,Current
Quillayute,1989,-18,Wild,17,Current
Quillayute,1989,-11,Hatchery,881,Current
Quillayute,1989,-11,Wild,66,Current
Quillayute,1989,3,Hatchery,806,Current
Quillayute,1989,3,Wild,213,Current
Quillayute,1989,10,Hatchery,598,Current
Quillayute,1989,10,Wild,107,Current
Quillayute,1989,17,Hatchery,255,Current
Quillayute,1989,17,Wild,71,Current
Quillayute,1989,24,Hatchery,211,Current
Quillayute,1989,24,Wild,85,Current
Quillayute,1989,31,Hatchery,217,Current
Quillayute,1989,31,Wild,135,Current
Quillayute,1989,38,Hatchery,107,Current
Quillayute,1989,38,Wild,157,Current
Quillayute,1989,45,Hatchery,115,Current
Quillayute,1989,45,Wild,439,Current
Quillayute,1989,52,Hatchery,67,Current
Quillayute,1989,52,Wild,213,Current
Quillayute,1989,59,Hatchery,24,Current
Quillayute,1989,59,Wild,134,Current
Quillayute,1989,66,Hatchery,45,Current
Quillayute,1989,66,Wild,162,Current
Quillayute,1989,73,Hatchery,21,Current
Quillayute,1989,73,Wild,215,Current
Quillayute,1989,80,Hatchery,15,Current
Quillayute,1989,80,Wild,292,Current
Quillayute,1989,87,Hatchery,19,Current
Quillayute,1989,87,Wild,207,Current
Quillayute,1989,94,Hatchery,9,Current
Quillayute,1989,94,Wild,145,Current
Quillayute,1990,-33,Hatchery,274,Current
Quillayute,1990,-33,Wild,22,Current
Quillayute,1990,-26,Hatchery,380,Current
Quillayute,1990,-26,Wild,75,Current
Quillayute,1990,-19,Hatchery,248,Current
Quillayute,1990,-19,Wild,63,Current
Quillayute,1990,-12,Hatchery,200,Current
Quillayute,1990,-12,Wild,20,Current
Quillayute,1990,2,Hatchery,253,Current
Quillayute,1990,2,Wild,131,Current
Quillayute,1990,9,Hatchery,161,Current
Quillayute,1990,9,Wild,70,Current
Quillayute,1990,16,Hatchery,76,Current
